Category,ItemName,ItemHdr,XpressfeedMnemonic,CRSP Long Name,Description/Full Compustat Name,ItemNameType
BalanceSheetFinancialAnnual,IAUI,IAUI,IAUI,Investment Assets (Insurance) - Unlisted Securities - Total,IAUI: Investment Assets (Insurance) - Unlisted Securities - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVOFS,INVOFS,INVOFS,Inventory/Stock - Other,INVOFS: Inventory/Stock - Other (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVREH,INVREH,INVREH,Inventory/Stock - Real Estate Held for Development,INVREH: Inventory/Stock - Real Estate Held for Development (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVREH_DC,INVREH_DC,INVREH_DC,Inventory/Stock - Real Estate Held for Development DC,INVREH_DC: Inventory/Stock - Real Estate Held for Development Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVREI,INVREI,INVREI,Inventory/Stock - Real Estate Under Development,INVREI: Inventory/Stock - Real Estate Under Development (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVREI_DC,INVREI_DC,INVREI_DC,Inventory/Stock - Real Estate Under Development DC,INVREI_DC: Inventory/Stock - Real Estate Under Development Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVRES,INVRES,INVRES,Inventory/Stock - Real Estate Held for Sale,INVRES: Inventory/Stock - Real Estate Held for Sale (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVRES_DC,INVRES_DC,INVRES_DC,Inventory/Stock - Real Estate Held for Sale DC,INVRES_DC: Inventory/Stock - Real Estate Held for Sale Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,INVT_FN,INVT_FN,INVT_FN,Inventories - Total FN,INVT_FN: Inventories - Total Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IP,IP,IP,Investment Property,IP: Investment Property (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IP_DC,IP_DC,IP_DC,Investment Property DC,IP_DC: Investment Property Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IP_FN,IP_FN,IP_FN,Investment Property FN,IP_FN: Investment Property Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IPC,IPC,IPC,Investment Property (Cost),IPC: Investment Property (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IPV,IPV,IPV,Investment Property (Valuation),IPV: Investment Property (Valuation) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IPV_DC,IPV_DC,IPV_DC,Investment Property (Valuation) DC,IPV_DC: Investment Property (Valuation) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQ,ISEQ,ISEQ,Investment Securities - Equity,ISEQ: Investment Securities - Equity (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQ_DC,ISEQ_DC,ISEQ_DC,Investment Securities - Equity DC,ISEQ_DC: Investment Securities - Equity Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQC,ISEQC,ISEQC,Investment Securities - Equity (Cost),ISEQC: Investment Securities - Equity (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQC_DC,ISEQC_DC,ISEQC_DC,Investment Securities - Equity (Cost) DC,ISEQC_DC: Investment Securities - Equity (Cost) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQM,ISEQM,ISEQM,Investment Securities - Equity (Market),ISEQM: Investment Securities - Equity (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISEQM_DC,ISEQM_DC,ISEQM_DC,Investment Securities - Equity (Market) DC,ISEQM_DC: Investment Securities - Equity (Market) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFI,ISFI,ISFI,Investment Securities - Fixed Income,ISFI: Investment Securities - Fixed Income (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFI_DC,ISFI_DC,ISFI_DC,Investment Securities - Fixed Income DC,ISFI_DC: Investment Securities - Fixed Income Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFXC,ISFXC,ISFXC,Investment Securities - Fixed Income (Cost),ISFXC: Investment Securities - Fixed Income (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFXC_DC,ISFXC_DC,ISFXC_DC,Investment Securities - Fixed Income (Cost) DC,ISFXC_DC: Investment Securities - Fixed Income (Cost) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFXM,ISFXM,ISFXM,Investment Securities - Fixed Income (Market),ISFXM: Investment Securities - Fixed Income (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISFXM_DC,ISFXM_DC,ISFXM_DC,Investment Securities - Fixed Income (Market) DC,ISFXM_DC: Investment Securities - Fixed Income (Market) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLG,ISLG,ISLG,Investment Securities - Local Governments,ISLG: Investment Securities - Local Governments (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLG_DC,ISLG_DC,ISLG_DC,Investment Securities - Local Governments DC,ISLG_DC: Investment Securities - Local Governments Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLGC,ISLGC,ISLGC,Investment Securities - Local Governments (Cost),ISLGC: Investment Securities - Local Governments (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLGC_DC,ISLGC_DC,ISLGC_DC,Investment Securities - Local Governments (Cost) DC,ISLGC_DC: Investment Securities - Local Governments (Cost) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLGM,ISLGM,ISLGM,Investment Securities - Local Governments (Market),ISLGM: Investment Securities - Local Governments (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLGM_DC,ISLGM_DC,ISLGM_DC,Investment Securities - Local Governments (Market) DC,ISLGM_DC: Investment Securities - Local Governments (Market) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISLT,ISLT,ISLT,Investment Securities - Listed - Total,ISLT: Investment Securities - Listed - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNG,ISNG,ISNG,Investment Securities - National Governments,ISNG: Investment Securities - National Governments (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNG_DC,ISNG_DC,ISNG_DC,Investment Securities - National Governments DC,ISNG_DC: Investment Securities - National Governments Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNGC,ISNGC,ISNGC,Investment Securities - National Governments (Cost),ISNGC: Investment Securities - National Governments (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNGC_DC,ISNGC_DC,ISNGC_DC,Investment Securities - National Governments (Cost) DC,ISNGC_DC: Investment Securities - National Governments (Cost) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNGM,ISNGM,ISNGM,Investment Securities - National Governments (Market),ISNGM: Investment Securities - National Governments (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISNGM_DC,ISNGM_DC,ISNGM_DC,Investment Securities - National Governments (Market) DC,ISNGM_DC: Investment Securities - National Governments (Market) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISOTC,ISOTC,ISOTC,Invetsment Securities - Other (Cost),ISOTC: Invetsment Securities - Other (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISOTH,ISOTH,ISOTH,Investment Securities - Other,ISOTH: Investment Securities - Other (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISOTM,ISOTM,ISOTM,Invetsment Securities - Other (Market),ISOTM: Invetsment Securities - Other (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSC,ISSC,ISSC,Investment Securities - Sundry (Cost),ISSC: Investment Securities - Sundry (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSC_DC,ISSC_DC,ISSC_DC,Investment Securities - Sundry (Cost) DC,ISSC_DC: Investment Securities - Sundry (Cost) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSM,ISSM,ISSM,Investment Securities - Sundry (Market),ISSM: Investment Securities - Sundry (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSM_DC,ISSM_DC,ISSM_DC,Investment Securities - Sundry (Market) DC,ISSM_DC: Investment Securities - Sundry (Market) Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSU,ISSU,ISSU,Investment Securities - Sundry,ISSU: Investment Securities - Sundry (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISSU_DC,ISSU_DC,ISSU_DC,Investment Securities - Sundry DC,ISSU_DC: Investment Securities - Sundry Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IST,IST,IST,Investment Securities -Total,IST: Investment Securities -Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IST_DC,IST_DC,IST_DC,Investment Securities -Total DC,IST_DC: Investment Securities -Total Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IST_FN,IST_FN,IST_FN,Investment Securities -Total FN,IST_FN: Investment Securities -Total Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISTC,ISTC,ISTC,Investment Securities - Total (Cost),ISTC: Investment Securities - Total (Cost) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISTM,ISTM,ISTM,Investment Securities - Total (Market),ISTM: Investment Securities - Total (Market) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,ISUT,ISUT,ISUT,Investment Securities - Unlisted - Total,ISUT: Investment Securities - Unlisted - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IVGOD,IVGOD,IVGOD,Investments Grants & Other Deductions,IVGOD: Investments Grants and Other Deductions (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IVPT,IVPT,IVPT,Investments - Permanent - Total,IVPT: Investments - Permanent - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,IVPT_DC,IVPT_DC,IVPT_DC,Investments - Permanent - Total DC,IVPT_DC: Investments - Permanent - Total Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCABG,LCABG,LCABG,Loans/Claims/Advances - Banks & Government - Total,LCABG: Loans/Claims/Advances - Banks and Government - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCABG_DC,LCABG_DC,LCABG_DC,Loans/Claims/Advances - Banks & Government - Total DC,LCABG_DC: Loans/Claims/Advances - Banks and Government - Total Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCACL,LCACL,LCACL,Loans/Claims/Advances - Commercial,LCACL: Loans/Claims/Advances - Commercial (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCACL_DC,LCACL_DC,LCACL_DC,Loans/Claims/Advances - Commercial DC,LCACL_DC: Loans/Claims/Advances - Commercial Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCACR,LCACR,LCACR,Loans/Claims/Advances - Consumer,LCACR: Loans/Claims/Advances - Consumer (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCACR_DC,LCACR_DC,LCACR_DC,Loans/Claims/Advances - Consumer DC,LCACR_DC: Loans/Claims/Advances - Consumer Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAG,LCAG,LCAG,Loans/Claims/Advances - Government,LCAG: Loans/Claims/Advances - Government (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAG_DC,LCAG_DC,LCAG_DC,Loans/Claims/Advances - Government DC,LCAG_DC: Loans/Claims/Advances - Government Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAL,LCAL,LCAL,Loans/Claims/Advances - Lease,LCAL: Loans/Claims/Advances - Lease (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAL_DC,LCAL_DC,LCAL_DC,Loans/Claims/Advances - Lease DC,LCAL_DC: Loans/Claims/Advances - Lease Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCALT,LCALT,LCALT,Loans/Claims/Advances - Long-Term (Banks),LCALT: Loans/Claims/Advances - Long-Term (Banks) (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAM,LCAM,LCAM,Loans/Claims/Advances - Mortgage,LCAM: Loans/Claims/Advances - Mortgage (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAM_DC,LCAM_DC,LCAM_DC,Loans/Claims/Advances - Mortgage DC,LCAM_DC: Loans/Claims/Advances - Mortgage Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAO,LCAO,LCAO,Loans/Claims/Advances - Other,LCAO: Loans/Claims/Advances - Other (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAO_FN,LCAO_FN,LCAO_FN,Loans/Claims/Advances - Other FN,LCAO_FN: Loans/Claims/Advances - Other Footnote (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAST,LCAST,LCAST,Loans/Claims/Advances - Short-Term - Banks,LCAST: Loans/Claims/Advances - Short-Term - Banks (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAT,LCAT,LCAT,Loans/Claims/Advances - Total,LCAT: Loans/Claims/Advances - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCAT_DC,LCAT_DC,LCAT_DC,Loans/Claims/Advances - Total DC,LCAT_DC: Loans/Claims/Advances - Total Data Code (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCOXAR,LCOXAR,LCOXAR,Current Liabilities - Other - Total As Reported,LCOXAR: Current Liabilities - Other - Total As Reported (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCUACU,LCUACU,LCUACU,Loans/Claims/Advances - Customer - Total,LCUACU: Loans/Claims/Advances - Customer - Total (Refer to your Compustat documentation for item definitions),AM
BalanceSheetFinancialAnnual,LCUACU_DC,LCUACU_DC,LCUACU_DC,Loans/Claims/Advances - Customer DC,LCUACU_DC: Loans/Claims/Advances - Customer Data Code (Refer to your Compustat documentation for item definitions),AM
